Perturbation Scale,R^2,Mean Degree,Perturbed,Intercept,Log(d),d^2,d^4 * cos(4theta),InvDegSum
0.0,0.9997648965725676,20.0,False,0.15307105997540582,0.01839526159528079,-0.027810550698187945,-0.011866613797756996,0.0
0.1,0.964080232754084,20.2674560546875,True,0.054998636568277304,0.023728905309216158,-0.03710825059998919,-0.016051525635889328,1.1343314846063384
0.2,0.9576550923386303,20.3570068359375,True,0.05145256116905324,0.023808706321605064,-0.03697017469397034,-0.016090843883776997,1.1697572909018616
0.30000000000000004,0.9581141768049618,20.3689697265625,True,0.050717802787559954,0.023831498952989298,-0.03732529854430222,-0.01612993065375011,1.1775888470550822
0.4,0.9616695198238312,20.4317138671875,True,0.05213992351956126,0.023855391279555015,-0.036899635972955,-0.01608024772099213,1.164062929054814
0.5,0.9619154073348603,20.33525390625,True,0.05186271994319275,0.023717090529528098,-0.03734564077448412,-0.016579089177854115,1.1637400726471439
0.6,0.961869366872924,20.359716796875,True,0.05231120116924105,0.02373160613828654,-0.03662247240929506,-0.015278003777958835,1.1602694165139877
0.7000000000000001,0.9648811157170692,20.3576904296875,True,0.05170331413324189,0.023683353283364045,-0.036889240685521504,-0.016041481361196607,1.1659001015644772
0.8,0.9630334264478865,20.3454833984375,True,0.050915881003884084,0.023745623865356773,-0.036657623378191104,-0.015975251028135348,1.1745123084698628
0.9,0.9579399998285295,20.405908203125,True,0.05167280114460643,0.023782548860190055,-0.0365902844695502,-0.0158808288800272,1.167790022753598
1.0,0.9606996149339363,20.39130859375,True,0.051141959090353725,0.02364321956823069,-0.0359885366536873,-0.015295015463207216,1.1693726345474693
1.1,0.960797592125637,20.3668212890625,True,0.051170865944332206,0.02377843665789268,-0.03692775644064232,-0.015652469595079686,1.1719089550773263
1.2000000000000002,0.9617876018292234,20.3619140625,True,0.0510688946433171,0.023508941144139473,-0.035179223936861855,-0.014584491295264524,1.168590824152734
1.3000000000000003,0.9603608721364499,20.35986328125,True,0.051276774641479214,0.023508796133054823,-0.035951499927943185,-0.015453724955791585,1.166429389474094
1.4000000000000001,0.962706519814551,20.402685546875,True,0.05100451866342211,0.02356998718646574,-0.03553705207305653,-0.014463441512862201,1.170456187948697
